CountryCode,Country,SDGIndexScore,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR, Population in 2020 ,2021,2020,2019,2018,
IRL,Ireland,81.0,13,#REF!,60.0,77.2,OECD,4937796 ,81.0,71.81,70.5,65.5,
CZE,Czech Republic,81.4,12,#REF!,67.8,77.2,OECD,10708982 ,81.4,72.58,70.8,71.3,
NLD,Netherlands,81.6,11,#REF!,47.0,77.2,OECD,17134873 ,81.6,71.40,69.4,81.2,
EST,Estonia,81.6,10,#REF!,72.1,77.2,OECD,1326539 ,81.6,,,,
SVN,Slovenia,81.6,9,0.00,60.8,77.2,OECD,2078932 ,81.6,,,,
FRA,France,81.7,8,#REF!,55.9,77.2,OECD,65273512 ,81.7,69.95,70.1,83.0,
NOR,Norway,82.0,7,#REF!,58.7,77.2,OECD,5421242 ,82.0,80.76,80.7,63.9,
AUT,Austria,82.1,6,#REF!,59.5,77.2,OECD,9006400 ,82.1,80.70,81.1,80.0,
BEL,Belgium,82.2,5,#REF!,62.0,77.2,OECD,11589616 ,82.2,68.83,68.7,65.9,
DEU,Germany,82.5,4,#REF!,60.4,77.2,OECD,83783945 ,82.5,75.21,70.1,70.4,
DNK,Denmark,84.9,3,#REF!,60.5,77.2,OECD,5792203 ,84.9,54.56,51.4,50.6,
SWE,Sweden,85.6,2,0.00,67.1,77.2,OECD,10099270 ,85.6,,,49.6,
FIN,Finland,85.9,1,#REF!,69.8,77.2,OECD,5540718 ,85.9,53.40,51.7,53.2,
AND,Andorra,,,#REF!,,71.4,E. Europe & C. Asia,77265 ,,,,,
ATG,Antigua and Barbuda,,,#REF!,,68.6,LAC,97928 ,,69.86,68.8,69.3,
BHS,Bahamas. The,,,#REF!,,68.6,LAC,393248 ,,53.31,50.9,49.0,
COM,Comoros,,,#REF!,,51.9,Africa,869595 ,,49.71,44.9,43.4,
DMA,Dominica,,,#REF!,,68.6,LAC,71991 ,,84.56,85.2,84.6,
ERI,Eritrea,,,#REF!,,51.9,Africa,3546427 ,,69.62,66.7,64.1,
FSM,Micronesia. Fed. Sts.,,,#REF!,,50.1,Oceania,663948 ,,83.77,82.8,69.0,
GNB,Guinea-Bissau,,,#REF!,,51.9,Africa,1967998 ,,74.33,71.4,70.6,
GNQ,Equatorial Guinea,,,#REF!,,51.9,Africa,1402985 ,,,,,
GRD,Grenada,,,#REF!,,68.6,LAC,112519 ,,52.47,52.8,52.1,
KIR,Kiribati,,,#REF!,,50.1,Oceania,119446 ,,63.14,63.5,61.1,
KNA,St. Kitts and Nevis,,,#REF!,,68.6,LAC,53192 ,,73.01,71.6,70.3,
LBY,Libya,,,#REF!,,67.1,MENA,6871287 ,,,,,
LCA,St. Lucia,,,#REF!,,68.6,LAC,183629 ,,,,,
LIE,Liechtenstein,,,#REF!,,71.4,E. Europe & C. Asia,38137 ,,74.95,75.1,72.9,
MCO,Monaco,,,#REF!,,71.4,E. Europe & C. Asia,39244 ,,75.97,76.1,74.2,
MHL,Marshall Islands,,,#REF!,,50.1,Oceania,59194 ,,,,,
NRU,Nauru,,,#REF!,,50.1,Oceania,10834 ,,56.17,55.6,,
PLW,Palau,,,#REF!,,50.1,Oceania,18092 ,,78.10,75.9,74.0,
PRK,Korea. Dem. Rep.,,,#REF!,,65.7,East & South Asia,25778815 ,,74.78,72.7,68.9,
SLB,Solomon Islands,,,#REF!,,50.1,Oceania,686878 ,,67.00,69.6,75.6,
SMR,San Marino,,,#REF!,,71.4,E. Europe & C. Asia,33938 ,,,,,
SYC,Seychelles,,,0.00,,51.9,Africa,98340 ,,68.36,67.0,50.7,
TLS,Timor-Leste,,,0.00,,65.7,East & South Asia,1318442 ,,,,,
TON,Tonga,,,0.00,,50.1,Oceania,105697 ,,52.70,51.6,52.0,
TUV,Tuvalu,,,0.00,,50.1,Oceania,11792 ,,70.30,68.5,66.0,
VCT,St. Vincent and the Grenadines,,,0.00,,68.6,LAC,110947 ,,76.43,74.5,73.0,
WSM,Samoa,,,0.00,,50.1,Oceania,198410 ,,61.68,63.1,64.0,
